column,absorbance
var_type:N,var_type:I
kolumna1,0.786
kolumna2,0.7
kolumna3,0.576
kolumna4,0.462
kolumna5,0.392
kolumna6,0.311
kolumna7,0.836
kolumna8,0.738
kolumna9,0.629
kolumna10,0.511
kolumna11,0.312
kolumna12,0.32
kolumna1,0.733
kolumna2,0.697
kolumna3,0.588
kolumna4,0.52
kolumna5,0.36
kolumna6,0.302
kolumna7,0.805
kolumna8,0.696
kolumna9,0.621
kolumna10,0.551
kolumna11,0.298
kolumna12,0.295
kolumna1,0.422
kolumna2,0.388
kolumna3,0.388
kolumna4,0.37
kolumna5,0.431
kolumna6,0.402
kolumna7,0.395
kolumna8,0.389
kolumna9,0.6
kolumna10,0.466
kolumna11,0.534
kolumna12,0.513
kolumna1,0.455
kolumna2,0.361
kolumna3,0.379
kolumna4,0.367
kolumna5,0.452
kolumna6,0.39
kolumna7,0.388
kolumna8,0.386
kolumna9,0.582
kolumna10,0.531
kolumna11,0.54
kolumna12,0.48
kolumna1,0.422
kolumna2,0.412
kolumna3,0.468
kolumna4,0.396
kolumna5,0.746
kolumna6,0.595
kolumna7,0.683
kolumna8,0.59
kolumna9,0.676
kolumna10,0.637
kolumna11,0.644
kolumna12,0.575
kolumna1,0.353
kolumna2,0.383
kolumna3,0.415
kolumna4,0.359
kolumna5,0.7
kolumna6,0.537
kolumna7,0.648
kolumna8,0.484
kolumna9,0.622
kolumna10,0.558
kolumna11,0.545
kolumna12,0.496
kolumna1,0.849
kolumna2,0.717
kolumna3,0.887
kolumna4,0.772
kolumna5,0.762
kolumna6,0.723
kolumna7,0.786
kolumna8,0.769
kolumna9,0.296
kolumna10,0.288
kolumna11,0.28
kolumna12,0.286
kolumna1,0.803
kolumna2,0.519
kolumna3,0.771
kolumna4,0.685
kolumna5,0.718
kolumna6,0.694
kolumna7,0.755
kolumna8,0.731
kolumna9,0.239
kolumna10,0.226
kolumna11,0.227
kolumna12,0.218
